ID,OriginalAmount,TermYears,Collateral_valuation,CurrentInstallment,Rate,PD,LGD
22269,2154710,36,1065792,185,4.70%,6.78%,39.3%
9421,410732,22,305033,147,6.70%,1.14%,75.6%
10792,517814,34,347262,307,6.60%,53.09%,30.2%
24511,1307984,32,1470743,308,2.40%,5.13%,19.0%
11889,446049,22,382956,82,5.90%,75.18%,72.7%
13972,511530,21,462639,173,8.70%,0.02%,26.6%
27562,3238224,11,3197628,103,7.10%,2.53%,37.2%
5565,311066,23,202224,152,13.00%,26.12%,25.0%
25757,2093628,22,1863503,91,4.10%,23.15%,49.5%
7888,356060,12,261169,5,7.10%,86.81%,43.0%
12691,413497,11,412240,130,7.90%,1.79%,81.7%
229,667503,23,36574,51,2.10%,76.63%,26.6%
26339,1712683,34,2175448,59,3.10%,20.98%,32.4%
2742,608557,22,131590,56,6.60%,16.74%,35.0%
11160,333563,22,359454,131,11.30%,1.97%,48.8%
8652,357694,11,283038,88,5.60%,55.28%,60.1%
4275,570852,23,171432,53,4.30%,1.52%,56.1%
21508,849617,11,971530,48,3.10%,0.00%,67.0%
3619,353169,22,154339,71,5.60%,14.26%,15.6%
8366,248224,17,274995,94,9.00%,15.46%,48.7%
22121,1683022,48,1047066,532,11.30%,47.52%,59.4%
19717,765284,24,798464,111,10.40%,25.01%,52.8%
24153,1509831,48,1387792,478,12.00%,17.98%,75.0%
14989,1441459,24,506880,106,6.70%,2.86%,27.2%
27467,3011617,23,3062896,103,8.20%,18.47%,64.8%
6977,401557,23,237541,171,12.00%,0.00%,74.3%
11004,468798,23,353798,60,12.70%,2.65%,53.6%
5188,147929,24,193301,112,4.60%,26.07%,6.9%
13784,929678,23,454847,234,10.80%,4.01%,46.6%
17880,1291896,45,664863,238,8.10%,9.35%,33.9%
18082,1144721,36,677055,282,8.70%,20.08%,21.7%
3749,176585,11,157984,5,7.80%,0.19%,13.4%
26374,2007787,33,2194929,275,2.10%,48.82%,56.8%
19296,1319421,24,766792,273,4.30%,38.31%,59.7%
23671,1347322,24,1290765,176,8.60%,22.05%,72.1%
27243,2782874,12,2813918,81,9.90%,0.04%,24.0%
21463,983093,11,967885,70,9.90%,0.65%,40.5%
4352,583044,22,173443,192,3.60%,6.00%,28.2%
8235,308803,13,270847,9,9.70%,0.08%,45.1%
25722,3377481,45,1856087,239,11.90%,0.64%,21.9%
18656,980454,21,716519,15,10.40%,0.10%,48.8%
7219,429710,21,244956,177,11.80%,0.56%,45.0%
6949,254885,22,236787,260,5.10%,2.42%,31.8%
22614,893355,47,1109656,137,11.20%,10.87%,88.0%
9279,606169,35,301011,159,6.30%,26.28%,67.1%
22162,752967,23,1052721,157,2.50%,4.50%,35.2%
16202,4838044,35,565825,159,9.50%,9.78%,52.3%
5843,450448,11,209639,109,6.50%,76.11%,71.1%
16981,633317,23,610820,49,10.80%,0.06%,34.5%
11539,2024126,24,372902,138,10.20%,0.07%,85.6%
25818,3418579,39,1892661,180,9.50%,51.38%,21.1%
5538,425060,11,201847,47,9.70%,21.41%,13.2%
19718,639727,23,798464,262,2.30%,11.57%,64.9%
4581,148180,11,178721,54,3.20%,44.13%,74.5%
15476,706087,22,529251,21,3.60%,59.50%,26.6%
24228,2854011,40,1404131,187,12.20%,0.01%,1.9%
11980,860049,23,385470,79,4.40%,51.80%,48.7%
5407,492175,23,198956,36,7.00%,38.12%,47.0%
18253,714005,13,688492,150,9.80%,0.64%,64.5%
25076,2327148,36,1629481,46,10.30%,48.39%,65.8%
10480,478601,24,336328,99,10.90%,2.13%,84.2%
15565,428831,35,533273,271,4.70%,82.84%,41.4%
11366,721672,23,366743,25,9.00%,4.27%,30.0%
9969,313956,23,318481,137,2.70%,22.80%,38.0%
26236,1984158,38,2108836,198,11.60%,0.84%,65.6%
16237,748066,47,567836,495,4.80%,88.78%,49.8%
8931,403191,21,290831,140,12.80%,2.46%,66.9%
21119,763148,22,929301,241,8.20%,30.37%,55.9%
14791,4802978,46,498333,440,5.80%,16.25%,38.0%
265,151071,21,39842,31,9.10%,1.33%,69.2%
26424,1767355,36,2224087,341,6.90%,78.37%,42.5%
1737,245459,19,103940,124,3.20%,21.73%,78.8%
12259,636836,22,396404,206,7.30%,9.57%,44.0%
16021,588448,11,556399,121,8.10%,39.27%,81.2%
13659,319738,20,449568,80,11.70%,49.44%,84.1%
9583,490038,23,308678,120,7.40%,8.87%,72.9%
19721,959213,58,798967,135,11.50%,0.12%,13.2%
21106,763148,11,928044,69,5.40%,11.92%,45.4%
4790,286934,24,184000,248,10.20%,4.82%,40.1%
7130,315590,22,242066,160,8.10%,0.38%,24.0%
1811,170929,23,105951,186,5.30%,1.30%,87.3%
23819,2006656,33,1318792,243,5.00%,97.57%,70.9%
20090,1415191,22,831016,88,2.70%,0.09%,48.3%
9544,323383,12,307923,113,6.20%,18.10%,50.6%
17652,646388,22,652295,105,10.00%,0.02%,58.0%
25333,1977623,24,1703885,102,5.80%,40.67%,43.0%
5568,237541,11,202224,53,6.50%,43.08%,40.7%
20828,654306,35,899639,231,5.90%,10.13%,65.9%
24668,1304716,23,1516995,227,2.10%,51.50%,23.3%
9018,776973,34,293596,56,2.60%,11.24%,53.7%
26723,3544765,23,2395519,158,12.80%,9.20%,65.2%
9918,674667,23,316344,261,2.50%,79.29%,47.5%
3314,235404,12,146672,123,9.00%,10.62%,80.9%
28463,12989470,28,17296251,171,8.10%,37.82%,17.6%
18478,769809,22,704705,113,7.90%,1.27%,82.3%
18246,873497,22,687612,41,3.30%,26.61%,62.1%
4680,227361,24,181612,52,5.60%,52.83%,61.5%
4547,493055,12,178344,83,9.90%,25.80%,44.5%
6650,271475,22,228617,199,5.90%,0.49%,37.0%
20237,1055612,23,844464,246,6.50%,28.44%,30.5%
11704,625650,23,376923,23,10.90%,1.59%,49.3%
8581,801481,23,281027,237,8.80%,0.60%,78.6%
4349,524978,23,173066,11,3.10%,0.07%,31.7%
18653,832148,24,716016,224,12.80%,14.40%,48.3%
6178,281656,12,217306,16,10.60%,23.09%,62.1%
22381,1163951,12,1078361,29,4.70%,81.23%,55.7%
26084,1871169,15,2028399,13,5.10%,22.44%,47.8%
21873,1261481,48,1012503,388,4.20%,1.82%,10.0%
11543,409601,24,372902,151,9.40%,1.52%,65.7%
19431,861557,35,776596,191,7.50%,9.62%,51.5%
13295,680574,23,435366,58,4.50%,15.07%,30.3%
15319,741781,46,521962,486,7.60%,64.84%,38.4%
25083,1914279,36,1630738,362,6.40%,0.02%,52.0%
27472,3976235,11,3069809,88,2.50%,4.09%,64.0%
17653,769809,23,652295,202,11.50%,0.00%,52.0%
24931,2948776,35,1585617,97,12.30%,4.58%,64.4%
14471,488153,35,484508,342,5.40%,0.12%,49.0%
13758,894989,12,453716,136,8.40%,1.54%,5.6%
11792,913339,48,380191,126,10.90%,5.89%,35.5%
20997,820962,24,916355,52,8.60%,7.65%,51.9%
5893,336956,25,210770,46,6.70%,0.95%,26.4%
17202,521208,11,623891,89,7.20%,55.63%,40.0%
7577,180732,12,253503,56,10.00%,27.08%,67.2%
3560,226230,22,152705,253,9.60%,27.63%,38.3%
13017,852257,22,424809,5,5.30%,8.42%,49.8%
7434,199333,23,250235,227,4.50%,4.58%,72.4%
22584,852508,13,1106388,80,9.60%,1.54%,74.2%
8756,951672,23,285929,246,7.70%,2.83%,3.4%
20269,711366,35,846852,398,3.70%,79.77%,31.1%
1184,201219,12,85339,105,6.90%,6.51%,16.1%
16273,565825,47,569470,244,10.10%,25.59%,79.8%
27338,3362650,12,2921126,57,6.80%,0.09%,50.6%
25183,2061956,22,1656754,256,3.10%,23.45%,36.0%
21559,2053410,34,976809,12,3.50%,13.56%,79.9%
28330,6599869,34,6405060,309,7.70%,81.36%,55.7%
17635,1079492,23,651038,65,6.70%,38.74%,40.0%
15475,669137,11,529251,118,9.20%,0.22%,31.5%
10636,498710,11,341984,102,4.60%,0.00%,51.3%
12842,388863,20,418399,162,4.40%,1.83%,74.5%
16622,622383,47,588574,177,6.20%,77.55%,52.1%
8674,331678,44,283918,66,11.40%,8.89%,29.9%
23361,1130142,11,1236721,57,9.40%,27.38%,56.5%
5941,607552,13,211650,86,10.60%,87.42%,45.0%
23623,923268,47,1280585,66,6.00%,3.21%,8.8%
22752,1349585,22,1132404,103,2.90%,22.58%,95.6%
6868,233142,22,234776,77,11.30%,62.34%,78.5%
14441,412743,22,482874,174,2.20%,38.05%,94.3%
7640,369508,24,255011,257,2.60%,27.29%,46.7%
24954,1452896,21,1590519,71,3.90%,0.32%,65.1%
18234,881415,22,686858,25,3.90%,62.30%,75.3%
25393,1631995,13,1728645,79,7.00%,75.85%,56.4%
19725,468295,23,798967,158,2.90%,40.28%,98.6%
1576,225601,23,99164,73,13.00%,0.04%,58.8%
12670,339721,23,411486,15,11.60%,8.72%,88.3%
15574,453590,11,533650,47,9.00%,42.26%,37.1%
3505,267202,12,151448,123,12.80%,2.80%,72.6%
28302,6417126,34,6046863,151,6.30%,10.40%,22.7%
6269,180732,12,219317,93,4.20%,0.82%,40.5%
3067,210142,23,140137,65,2.60%,60.17%,8.2%
12301,803240,23,398038,250,5.90%,6.70%,40.6%
28032,3386404,31,4308164,117,9.60%,44.10%,46.5%
10689,736880,21,343617,170,12.30%,88.23%,33.2%
27149,6807246,45,2711109,281,12.40%,71.76%,50.7%
3890,567082,23,161251,205,10.80%,1.00%,26.8%
13154,711995,48,429333,367,7.10%,13.20%,50.2%
511,279393,23,57311,243,2.60%,11.24%,48.8%
21080,1024568,33,924022,86,9.10%,75.25%,36.3%
24441,1233202,23,1455284,55,5.40%,0.00%,44.5%
17858,978694,35,662852,14,7.80%,35.67%,30.8%
23644,2038202,23,1284230,173,2.40%,20.61%,69.0%
2338,364481,11,120656,66,3.00%,57.42%,52.6%
24874,1191727,46,1571038,368,12.70%,53.05%,39.0%
27968,3974601,45,4033923,25,12.10%,0.00%,25.2%
22366,1638530,47,1075470,499,2.20%,57.14%,21.6%
3559,284546,22,152705,251,12.40%,29.69%,25.3%
11519,327153,13,372022,67,8.70%,10.67%,37.1%
1198,196820,24,85716,102,12.10%,18.84%,50.1%
13519,541694,13,443913,67,7.90%,44.53%,77.2%
16693,628038,33,593350,277,7.80%,18.87%,70.1%
28186,7021913,48,5039639,21,12.10%,22.28%,46.8%
8848,286432,13,288820,11,6.30%,39.52%,32.4%
23034,1505180,23,1177399,152,8.50%,24.49%,28.3%
22296,2414372,11,1069060,131,12.00%,0.34%,62.6%
25606,1683902,12,1813104,107,4.20%,4.21%,33.0%
35,373404,21,12945,194,6.30%,82.52%,79.0%
17232,664109,34,625525,194,2.80%,0.40%,60.6%
485,169546,22,56055,217,2.20%,45.86%,85.5%
3369,1175137,21,147803,60,3.00%,0.47%,27.4%
16118,885311,11,561301,65,5.00%,60.06%,44.6%
6622,266825,24,227863,244,6.90%,0.17%,35.2%
11284,463896,12,363978,75,11.80%,28.73%,29.6%
25940,1974230,22,1955628,70,12.40%,58.57%,56.3%
21690,1006973,12,993022,64,12.80%,0.95%,64.2%
26444,4273978,35,2231880,267,6.30%,4.08%,47.6%
3260,667880,11,145038,127,9.80%,7.25%,59.9%
10648,784137,35,342361,115,10.80%,0.19%,7.2%
21414,2113109,24,960973,91,8.10%,29.86%,44.5%
12302,753093,47,398038,169,7.90%,9.04%,60.7%
19777,858792,48,802989,62,8.20%,5.09%,35.9%
18871,880913,47,733989,144,4.30%,0.78%,76.8%
21270,1699109,46,943880,12,9.30%,3.42%,62.9%
1896,310689,35,108464,116,11.90%,73.94%,81.9%
3510,301765,21,151448,159,6.20%,29.20%,40.8%
6621,431344,22,227863,165,8.10%,0.04%,54.5%
10188,578016,22,325770,181,5.00%,24.01%,54.4%
24587,2451825,30,1487333,357,4.50%,3.46%,66.9%
28279,6477202,23,5799519,20,5.10%,5.77%,30.3%
10609,362219,23,341230,2,6.40%,0.27%,40.7%
6660,307546,11,229120,51,11.40%,75.56%,52.8%
20034,1135044,23,826995,53,4.10%,0.00%,44.8%
26988,2718650,29,2585552,188,7.50%,0.65%,29.4%
1325,323005,23,90617,63,9.90%,6.80%,52.8%
17598,2156219,32,648273,265,6.00%,39.11%,46.7%
14131,963612,23,469929,93,12.70%,41.41%,55.7%
20429,870355,11,861432,56,4.50%,8.39%,40.4%
5792,270721,11,208383,96,7.90%,11.03%,37.7%
27101,3328716,24,2675415,250,2.10%,0.04%,32.1%
682,178721,23,65858,206,10.50%,3.08%,31.1%
27735,4852623,36,3560350,58,7.00%,6.29%,29.8%
1347,253880,12,91372,12,11.20%,42.16%,19.6%
15463,845596,21,528372,241,8.00%,0.04%,78.7%
6435,200213,11,223339,86,4.30%,0.06%,66.3%
2623,162383,11,127945,13,6.60%,78.29%,41.9%
7783,210519,22,259158,219,9.60%,98.01%,77.0%
20833,812792,13,900016,10,7.30%,31.83%,25.5%
5557,174951,23,202224,135,4.80%,45.86%,23.8%
25329,1613645,24,1701372,274,12.20%,38.37%,42.1%
4145,176710,11,167787,13,9.60%,55.62%,50.2%
12091,378809,59,389869,489,10.40%,91.99%,43.8%
14250,1408279,33,473951,103,2.20%,1.19%,38.5%
12345,398918,23,399295,75,12.20%,81.86%,59.0%
13180,387481,35,430087,92,10.30%,49.66%,28.6%
21230,1293404,36,940612,401,3.30%,2.64%,60.1%
19091,1369066,23,750202,96,3.00%,1.86%,49.2%
22872,997546,35,1151885,393,10.90%,19.93%,59.4%
26634,1617792,36,2327273,173,7.90%,4.78%,86.1%
25071,2739011,47,1628350,239,5.50%,8.30%,16.3%
28206,4578885,23,5181410,52,12.30%,0.76%,42.0%
9858,269213,12,315213,83,5.80%,42.37%,80.8%
26355,1577951,12,2189148,43,2.40%,1.80%,12.2%
8615,340727,25,281907,182,11.10%,46.48%,15.4%
11510,379186,23,371645,240,11.40%,3.42%,15.5%
21476,701940,12,969519,8,7.70%,4.36%,49.2%
19044,1003705,45,747311,106,7.30%,2.11%,57.5%
27024,2155842,23,2603902,147,13.00%,23.14%,32.4%
25229,2077164,32,1672590,134,12.30%,0.96%,54.3%
12750,702443,20,414628,211,4.90%,15.92%,32.2%
22167,2113109,47,1053224,517,12.20%,0.00%,50.4%
16730,915350,35,595486,172,9.70%,36.39%,35.5%
13189,324137,23,430590,23,11.30%,0.51%,26.6%
18442,1277317,23,701437,240,11.10%,21.62%,43.9%
23160,994279,21,1201781,100,6.10%,0.19%,96.6%
23636,1204923,46,1282596,155,8.10%,40.83%,29.6%
17606,858164,23,649027,72,12.00%,67.44%,49.5%
17353,813169,32,633191,368,3.40%,17.09%,25.0%
11334,343366,22,365486,98,3.90%,47.50%,18.7%
14416,486142,22,481743,12,2.50%,26.21%,66.2%
27237,3183049,23,2809016,196,12.30%,1.26%,27.4%
16394,946770,23,576383,169,2.00%,5.28%,34.8%
25111,2018344,23,1638027,23,3.90%,1.49%,73.4%
3953,737760,23,162885,169,5.10%,90.68%,71.7%
13506,376421,21,443913,75,3.70%,26.32%,54.6%
20202,1412049,23,841197,143,7.20%,73.47%,98.2%
14661,439639,36,492678,210,5.70%,82.29%,40.5%
28268,7468339,59,5743087,237,11.40%,80.42%,33.4%
26792,5328333,24,2432847,187,4.70%,8.00%,38.5%
5486,367749,24,200590,3,8.80%,93.45%,16.4%
22315,1241120,23,1070694,14,5.80%,4.94%,34.1%
13168,344120,22,429710,247,2.70%,0.10%,84.9%
6022,348519,21,213284,240,5.00%,0.12%,48.2%
20897,3365792,30,905672,234,11.60%,26.12%,6.1%
27433,2421913,47,3030721,123,9.60%,6.49%,22.3%
7253,264940,13,246087,62,5.00%,54.81%,50.5%
19965,3295787,23,820836,195,4.30%,38.97%,70.5%
610,695907,33,62967,324,9.00%,86.41%,78.4%
12594,361967,35,408973,74,4.20%,3.54%,73.7%
3851,231257,11,159995,12,10.50%,0.39%,25.2%
22715,3232568,11,1126623,51,11.30%,2.56%,88.1%
21764,1694208,23,1001945,235,9.80%,34.34%,18.0%
12783,391754,23,415885,240,10.60%,62.12%,7.3%
6600,237792,12,226984,63,6.30%,27.63%,70.6%
22491,870732,11,1094951,92,11.80%,0.00%,54.1%
812,232262,23,71137,106,5.10%,17.31%,19.1%
17812,1222016,45,660842,92,5.90%,29.08%,27.5%
19805,601142,23,805880,118,11.00%,36.79%,43.4%
5586,773956,32,203104,370,5.20%,0.02%,36.7%
2417,339721,23,122667,19,10.10%,0.52%,70.6%
22776,1281590,12,1137683,70,2.50%,4.78%,40.6%
23286,1406142,47,1225410,501,8.60%,25.36%,84.0%
16715,999809,35,594607,19,3.50%,0.23%,90.0%
23908,2250858,43,1336639,467,11.80%,2.63%,48.0%
6103,233393,23,215295,110,6.90%,10.09%,12.9%
17911,748066,22,666120,100,4.00%,18.37%,45.9%
25311,1778164,23,1697350,257,8.30%,90.79%,50.4%
18908,917486,23,736000,220,3.30%,84.07%,64.3%
20372,712372,23,856530,248,9.10%,7.01%,30.5%
7469,335574,34,250612,392,6.40%,64.57%,26.0%
23298,1173754,23,1227044,208,10.90%,11.41%,17.4%
15035,545464,23,509268,228,3.50%,12.43%,69.2%
23219,2964989,24,1210705,102,12.10%,70.19%,29.0%
16336,677055,29,572738,213,5.20%,16.86%,73.3%
2153,369257,23,115754,228,9.90%,0.00%,41.3%
21034,911454,23,918743,181,10.70%,0.25%,36.9%
27564,3211328,32,3199262,208,7.00%,1.26%,25.3%
18455,522087,35,703071,116,5.50%,45.28%,22.6%
200,201596,22,34060,26,5.00%,1.48%,14.5%
24450,2677426,47,1456541,463,5.80%,0.12%,30.8%
3834,467667,23,159617,262,8.60%,24.48%,15.3%
26451,2082443,43,2234268,424,11.50%,37.25%,28.3%
12262,555142,12,396404,47,8.40%,56.46%,82.3%
13014,582918,11,424809,39,9.90%,5.50%,78.3%
14923,479858,11,503612,99,6.90%,4.07%,24.7%
22270,993902,22,1066169,101,3.60%,1.08%,34.2%
23131,801732,48,1196126,330,8.20%,29.85%,49.1%
14769,721923,47,497579,273,10.00%,0.00%,81.7%
3876,327153,11,160372,82,7.40%,0.95%,46.7%
21282,1274049,12,944760,129,9.60%,0.03%,45.8%
17554,1651727,36,646137,126,6.90%,27.26%,81.4%
5516,161628,12,201093,49,7.90%,54.77%,39.7%
18182,928295,34,683213,308,7.50%,79.95%,42.3%
1090,227235,35,81694,130,2.00%,19.05%,16.6%
17586,1048448,23,647393,125,12.80%,13.36%,14.2%
27121,2832268,32,2684716,223,4.10%,1.01%,37.7%
4940,426568,36,187268,199,8.20%,23.78%,58.2%
23982,808016,22,1350842,226,5.50%,0.13%,61.3%
22030,1586120,24,1035251,28,10.70%,0.01%,85.9%
21276,1100984,11,944257,92,6.20%,4.17%,27.6%
21728,1002699,24,998301,60,4.10%,99.73%,68.8%
4985,205366,12,188022,80,5.80%,8.84%,75.0%
14686,585683,11,493432,115,5.90%,13.37%,35.0%
873,415383,34,73148,402,7.70%,16.23%,57.2%
28008,7157273,47,4222825,116,10.90%,17.35%,23.8%
5340,236787,23,197825,242,8.20%,70.68%,60.3%
12755,1009109,47,414628,60,3.80%,77.17%,39.9%
24119,1364792,23,1380503,25,9.60%,2.56%,49.5%
19419,601896,36,775716,359,9.30%,10.58%,82.1%
2738,679820,24,131590,68,8.20%,0.02%,25.0%
18607,1309617,59,712372,300,5.80%,70.92%,49.6%
4270,505120,22,171432,47,11.30%,0.00%,24.4%
20561,1158044,22,874880,174,2.40%,15.41%,59.9%
27451,2982585,58,3045426,490,5.80%,8.16%,41.3%
16225,988874,44,566956,306,5.50%,35.36%,61.9%
18621,650787,23,713628,265,8.20%,69.93%,88.7%
13894,409601,22,459372,67,5.80%,92.76%,63.7%
2105,163639,14,114120,36,10.40%,76.84%,69.6%
26328,2160115,24,2166399,251,12.90%,10.61%,81.9%
4530,177339,22,177842,139,5.80%,0.00%,14.9%
13216,535158,11,431344,71,10.10%,77.65%,68.3%
25303,1678497,11,1695339,10,6.10%,0.06%,56.8%
15215,443158,23,517060,73,4.50%,11.45%,70.7%
4927,738891,11,186891,9,9.20%,47.86%,93.2%
17682,569470,23,653552,226,3.10%,0.00%,17.1%
11870,715137,47,382579,311,4.90%,3.24%,58.2%
3666,207251,11,155973,76,3.20%,36.73%,40.5%
3523,572989,11,151951,90,9.60%,1.30%,60.0%
11725,2240552,23,377678,84,3.20%,0.71%,58.1%
18201,600639,23,685224,180,7.40%,26.33%,79.6%
11525,407339,23,372399,222,9.20%,55.42%,54.4%
7403,282536,22,248978,244,7.40%,4.54%,38.1%
13252,536667,13,432978,53,5.80%,23.42%,52.5%
19113,862186,11,752590,120,5.90%,2.93%,61.8%
12207,875634,11,394016,118,12.20%,3.36%,65.9%
28055,8602503,31,4392246,235,3.20%,36.68%,56.7%
23429,1317661,34,1247781,68,11.60%,30.25%,40.8%
21940,1053350,33,1023060,28,5.10%,81.76%,52.6%
28359,7349945,33,6866568,259,11.00%,0.01%,64.0%
6712,383208,24,230251,67,8.00%,74.71%,24.4%
13261,641989,35,433355,273,3.70%,0.00%,56.2%
547,174951,11,59699,7,3.60%,1.56%,38.5%
34,431847,12,12945,23,5.00%,0.56%,52.5%
11307,708852,23,364355,145,12.30%,0.66%,23.0%
7316,504115,23,247344,103,10.90%,2.23%,68.1%
12986,464776,12,423678,107,2.60%,3.09%,42.9%
16439,922639,47,578770,226,9.30%,1.32%,53.0%
405,186639,23,49896,5,10.40%,42.04%,39.3%
26732,2168787,46,2399541,189,8.00%,3.08%,64.7%
5140,168918,12,192169,46,9.70%,8.49%,88.0%
22817,918366,47,1142962,246,12.00%,0.11%,58.8%
11670,366617,21,376044,243,12.90%,27.58%,54.6%
25023,1748880,22,1607612,260,2.80%,1.92%,50.6%
7558,401934,13,253000,82,4.20%,1.12%,24.0%
26065,2546464,48,2018219,362,11.30%,41.37%,75.4%
22894,2361333,45,1155530,230,6.20%,78.54%,23.4%
1812,1256705,21,105951,137,10.50%,67.53%,79.8%
7287,315967,22,246590,159,4.20%,0.33%,59.9%
15134,947273,11,513792,63,7.50%,38.04%,64.9%
1820,220951,22,106454,53,7.60%,0.03%,25.8%
456,445044,23,53667,98,2.30%,40.25%,29.3%
2791,170049,11,132847,68,10.80%,30.22%,83.9%
19126,762016,22,753470,194,12.50%,1.18%,24.9%
19707,943880,23,797710,80,8.90%,1.89%,56.3%
14916,1049956,35,503235,239,2.60%,3.12%,76.4%
23689,1455410,11,1293656,84,2.60%,0.04%,36.9%
19279,719536,13,766038,104,2.40%,32.49%,67.2%
7235,257902,23,245333,227,11.30%,46.74%,88.4%
15412,903410,31,526361,176,3.00%,31.56%,35.5%
26992,4018842,24,2587689,154,7.70%,15.25%,40.7%
19517,1625836,36,784262,381,7.30%,16.26%,56.7%
21364,1124361,12,955694,10,5.20%,0.08%,50.9%
16213,587945,35,566579,321,5.40%,30.99%,95.8%
20066,2182235,23,829760,48,10.30%,17.90%,15.9%
25297,2780863,47,1692071,475,9.80%,4.78%,63.3%
9597,523344,22,309055,63,4.50%,10.54%,75.7%
14985,1186197,23,506503,53,5.70%,0.86%,95.8%
7922,179475,11,261923,110,2.60%,8.13%,85.2%
25388,3052967,22,1725000,203,5.40%,1.28%,37.7%
9104,329918,23,296486,152,7.40%,0.17%,42.8%
17978,679694,23,671399,76,12.40%,0.19%,49.9%
3706,895115,22,157230,142,3.10%,48.15%,57.1%
15205,951044,24,516683,189,3.90%,95.47%,4.7%
24222,2083825,22,1402874,92,4.40%,72.11%,49.6%
21758,1009109,23,1001191,155,12.10%,0.00%,70.7%
11569,486645,20,373279,115,6.80%,0.64%,72.1%
3117,290705,12,141770,141,2.40%,22.80%,36.8%
4385,255514,24,174699,256,11.50%,0.06%,26.8%
15522,1649716,23,531639,134,2.50%,63.40%,96.2%
3449,478350,47,149814,493,9.60%,65.52%,8.0%
6755,234273,21,231508,129,9.70%,38.63%,55.2%
18659,1044301,21,716519,250,13.00%,55.61%,26.6%
22260,952426,11,1065415,118,7.80%,27.46%,40.3%
7444,237541,60,250235,205,2.20%,15.28%,49.1%
18401,980831,47,698546,84,7.10%,0.04%,18.5%
11103,643749,23,357443,256,8.00%,86.68%,67.1%
18714,1268519,23,720164,23,11.50%,33.18%,66.3%
17121,612579,47,619743,520,7.00%,22.71%,81.2%
2953,164268,22,136869,186,5.50%,43.24%,9.7%
25335,1409913,23,1707027,31,3.80%,46.01%,59.3%
23404,1260727,30,1242880,214,8.40%,0.54%,27.3%
9305,245710,23,301765,139,6.90%,11.33%,41.6%
12361,746557,24,400049,141,11.50%,50.97%,47.4%
18649,601896,13,715639,154,12.50%,0.14%,33.4%
17478,505623,23,641738,170,5.40%,28.02%,84.8%
16523,540940,23,582792,107,5.10%,1.00%,25.7%
4235,154967,11,170175,50,7.20%,0.01%,65.9%
26695,2705077,23,2380437,147,9.50%,82.50%,80.0%
159,240306,11,31295,128,4.80%,70.21%,57.3%
16853,1079743,58,603153,224,8.80%,2.25%,80.7%
19118,1130268,59,752967,84,7.00%,5.15%,11.8%
9587,1091557,11,308678,63,12.50%,47.28%,59.6%
6996,484508,24,238421,2,3.10%,0.01%,42.9%
11545,819956,35,372902,261,6.30%,5.62%,27.5%
18973,925530,12,740399,80,10.40%,0.22%,65.1%
20457,1908246,12,865579,64,6.60%,1.74%,74.7%
23681,1703885,13,1292776,139,12.60%,28.63%,47.6%
160,225601,22,31295,101,10.70%,0.21%,19.0%
7348,261044,21,247721,242,5.90%,40.71%,33.7%
17163,782503,12,621000,83,12.10%,0.60%,36.3%
8283,988874,23,271727,87,12.80%,32.97%,57.2%
8594,220197,12,281530,98,4.60%,0.48%,60.7%
17482,634951,34,641738,67,10.10%,17.49%,94.1%
12205,773202,34,394016,146,7.20%,73.78%,30.6%
1250,174951,12,87727,141,12.30%,0.66%,44.5%
17612,1017027,46,649404,236,10.00%,33.30%,71.5%
13267,770940,34,433732,359,10.00%,30.78%,24.4%
19674,3007470,48,795699,14,11.50%,0.17%,25.4%
23572,2431339,23,1269650,101,7.20%,1.01%,37.1%
8358,239929,21,274617,68,6.30%,2.80%,81.5%
16014,512913,24,555645,189,7.10%,85.44%,8.2%
4844,1184311,22,184754,39,7.60%,0.05%,37.7%
6706,761137,23,230251,252,12.80%,15.60%,24.9%
24507,1254945,35,1468732,300,9.40%,20.53%,12.7%
12941,413120,11,422044,33,9.60%,77.42%,78.1%
3231,153585,11,144158,71,3.50%,2.54%,21.9%
17306,451202,23,629546,246,11.60%,67.37%,42.4%
19600,1523279,22,789541,29,8.60%,0.15%,74.8%
17157,530131,34,621000,31,13.00%,27.29%,63.5%
26781,4203721,24,2427568,203,5.30%,17.05%,62.0%
23634,1366175,13,1282219,102,3.30%,0.46%,33.5%
10670,303650,23,343240,58,4.20%,87.50%,92.8%
10146,570601,24,324514,152,4.10%,41.63%,36.2%
24654,1442213,11,1510962,45,5.10%,55.66%,22.0%
25759,2004393,36,1866645,352,9.30%,73.53%,46.0%
21082,720541,35,924399,35,7.40%,72.07%,64.7%
20162,1421601,48,837049,150,6.30%,4.76%,53.3%
27555,4855514,22,3186317,110,3.70%,1.06%,44.7%
9569,517060,11,308678,21,6.10%,0.49%,52.0%
22417,2439005,35,1085650,374,4.90%,0.00%,31.3%
28254,5648825,24,5532317,250,4.90%,15.35%,86.7%
22745,1245770,35,1131902,158,2.20%,26.39%,8.7%
17545,638344,23,645383,250,7.30%,6.65%,79.6%
14328,781372,23,477219,169,8.10%,8.71%,46.6%
3542,335322,22,151951,201,4.30%,86.08%,37.0%
2685,758623,46,129579,505,12.50%,0.92%,45.3%
20895,2165016,11,905672,94,8.10%,13.67%,62.5%
9891,1201530,35,315967,43,9.70%,58.74%,65.3%
14438,607175,23,482874,275,2.70%,8.28%,37.1%
14123,790798,34,469552,337,7.50%,7.00%,33.6%
13352,508262,21,437880,99,5.30%,39.88%,82.3%
