ID,OriginalAmount,Term,YearlyInterestRate,CurrentInstallment,PD
12315,4779,11,7%,2,3.77%
12316,6352,18,26%,1,15.32%
12317,40447,53,16%,6,6.53%
12318,5600,22,31%,9,35.91%
12319,4299,30,15%,21,11.74%
12320,6003,23,13%,14,45.40%
12321,1660,11,12%,4,1.41%
12322,2363,23,28%,20,5.23%
12323,4299,23,9%,14,18.30%
12324,3675,11,21%,9,0.16%
12325,9048,46,8%,13,19.10%
12326,37056,24,32%,3,7.01%
12327,16327,23,16%,8,37.43%
12328,3022,11,27%,9,37.32%
12329,57259,28,9%,17,0.59%
12330,5397,12,22%,1,19.05%
12331,1801,16,15%,7,0.04%
12332,3638,23,32%,12,1.67%
12333,4948,11,21%,2,44.95%
12334,18417,23,28%,12,0.89%
12335,19933,23,5%,5,45.70%
12336,3552,21,23%,9,4.41%
12337,2257,21,9%,9,15.43%
12338,3732,35,21%,22,17.46%
12339,3613,12,25%,1,7.30%
12340,5732,20,11%,9,41.43%
12341,7855,23,5%,12,6.69%
12342,10061,22,14%,20,24.07%
12343,4894,37,24%,4,0.01%
12344,5378,23,25%,8,30.48%
12345,3525,11,19%,2,2.57%
12346,5109,63,19%,52,22.54%
12347,1671,25,17%,18,25.97%
12348,13526,59,7%,52,2.11%
12349,13295,45,8%,41,2.44%
12350,6762,58,13%,3,6.87%
12351,3939,23,7%,21,6.74%
12352,6135,23,19%,16,1.76%
12353,6783,47,5%,10,13.17%
12354,9322,21,9%,19,11.11%
12355,2947,24,23%,6,0.24%
12356,39055,24,12%,3,88.84%
12357,2745,23,14%,11,0.00%
12358,3665,22,7%,19,27.94%
12359,7547,47,12%,31,30.72%
12360,1535,20,23%,7,20.49%
12361,2675,19,25%,12,28.53%
12362,43494,22,29%,7,0.38%
12363,4605,22,17%,11,1.00%
12364,3275,13,8%,7,61.32%
12365,3161,45,29%,37,13.79%
12366,12420,23,11%,15,0.28%
12367,12923,23,15%,4,0.01%
12368,7699,24,24%,6,29.72%
12369,6361,35,27%,23,27.24%
12370,1338,23,12%,12,6.29%
12371,13509,47,7%,1,4.72%
12372,5680,22,29%,3,5.03%
12373,13151,23,7%,6,85.96%
12374,1977,19,30%,6,42.66%
12375,10110,59,14%,27,0.05%
12376,1595,23,21%,18,61.68%
12377,3090,12,20%,4,2.98%
12378,10197,35,6%,21,22.08%
12379,4888,64,22%,7,39.15%
12380,2837,16,12%,13,66.11%
12381,8264,22,13%,19,65.42%
12382,2817,23,11%,15,8.18%
12383,20623,36,30%,14,3.14%
12384,3235,11,25%,3,95.99%
12385,4241,35,16%,20,82.09%
12386,5438,46,31%,35,0.11%
12387,5441,24,29%,1,11.36%
12388,4094,44,26%,41,4.53%
12389,14833,22,28%,16,29.23%
12390,2708,23,22%,18,59.87%
12391,8558,23,9%,18,46.70%
12392,2557,21,6%,16,36.69%
12393,2995,22,5%,18,44.05%
12394,7976,23,25%,17,7.63%
12395,11182,27,12%,5,24.65%
12396,3716,13,23%,1,26.33%
12397,14043,23,32%,21,13.45%
12398,2950,24,14%,12,84.39%
12399,3100,59,15%,25,2.20%
12400,2218,59,27%,29,5.66%
12401,13412,35,6%,22,82.23%
12402,3821,11,23%,3,2.15%
12403,1711,12,21%,3,2.07%
12404,5617,24,24%,14,32.55%
12405,2263,36,31%,6,0.19%
12406,1638,31,15%,5,1.48%
12407,36456,47,23%,2,98.32%
12408,2907,46,29%,35,99.54%
12409,3366,60,26%,55,0.00%
12410,1767,11,16%,8,50.21%
12411,7277,23,31%,20,0.09%
12412,2335,23,17%,13,4.60%
12413,4008,19,8%,7,6.99%
12414,9163,24,26%,20,85.19%
12415,3001,12,9%,9,96.89%
12416,38592,47,5%,38,66.28%
12417,2144,23,17%,12,8.92%
12418,5238,25,21%,20,10.48%
12419,14245,23,14%,17,13.83%
12420,10949,47,20%,30,7.74%
12421,2401,43,17%,25,10.97%
12422,5255,58,27%,13,10.00%
12423,6782,23,22%,4,2.19%
12424,2762,48,27%,12,44.40%
12425,3536,45,6%,26,31.98%
12426,12973,35,17%,7,18.13%
12427,7070,24,18%,6,70.83%
12428,3822,23,9%,16,0.31%
12429,6701,22,20%,17,68.68%
12430,18467,23,17%,11,31.24%
12431,101593,22,24%,15,1.96%
12432,4606,45,5%,13,62.33%
12433,12008,23,15%,13,0.25%
12434,3618,46,11%,5,0.00%
12435,4644,22,31%,18,84.86%
12436,3195,24,13%,11,41.17%
12437,12712,47,18%,36,60.07%
12438,2277,11,6%,8,73.80%
12439,2235,22,21%,4,0.05%
12440,8531,47,11%,28,18.72%
12441,2069,12,23%,9,75.86%
12442,13509,22,26%,12,0.14%
12443,34025,23,6%,17,18.54%
12444,10821,27,11%,4,71.46%
12445,40134,35,21%,12,0.12%
12446,2268,23,23%,17,76.68%
12447,1794,22,27%,11,61.73%
12448,2834,22,27%,16,28.73%
12449,3243,22,10%,3,3.89%
12450,3894,22,16%,19,0.00%
12451,9883,59,23%,12,46.72%
12452,1805,13,16%,1,67.07%
12453,8828,34,16%,13,63.46%
12454,10351,23,31%,11,69.00%
12455,2171,19,7%,1,12.22%
12456,20218,23,27%,7,60.21%
12457,6447,23,23%,20,48.69%
12458,2270,23,14%,4,2.12%
12459,7179,22,20%,18,90.18%
12460,3985,11,9%,6,12.92%
12461,10507,36,13%,34,0.00%
12462,2998,24,25%,22,20.80%
12463,12608,35,9%,15,30.97%
12464,36205,39,12%,33,90.99%
12465,9733,22,24%,10,18.52%
12466,5325,22,15%,3,25.77%
12467,2527,21,6%,11,27.05%
12468,5715,35,8%,16,10.06%
12469,2590,18,17%,16,35.39%
12470,1997,34,23%,19,8.19%
12471,5009,35,13%,8,9.93%
12472,3271,22,8%,14,0.01%
12473,2090,23,22%,16,19.69%
12474,1566,11,20%,3,0.04%
12475,3356,19,14%,2,0.24%
12476,7010,37,21%,27,12.90%
12477,8936,23,29%,8,40.54%
12478,3576,23,15%,13,19.17%
12479,2607,48,29%,19,58.60%
12480,14561,12,19%,5,65.47%
12481,17617,24,30%,16,0.00%
12482,25775,33,16%,13,38.84%
12483,6123,22,21%,6,21.71%
12484,23390,23,23%,7,0.33%
12485,2837,47,30%,15,1.83%
12486,3935,23,11%,8,0.32%
12487,2185,12,32%,6,94.35%
12488,7903,42,11%,30,10.49%
12489,4791,22,9%,3,8.24%
12490,4043,18,11%,16,0.00%
12491,5204,24,16%,14,1.87%
12492,34530,22,7%,8,1.00%
12493,2511,35,16%,7,54.49%
12494,1717,59,27%,16,14.85%
12495,4202,47,6%,30,35.02%
12496,6092,22,21%,7,5.23%
12497,1271,20,12%,4,44.37%
12498,13241,32,27%,15,37.70%
12499,3176,23,22%,7,16.88%
12500,3636,12,18%,7,30.84%
12501,15676,24,16%,19,2.30%
12502,6227,22,6%,5,32.74%
12503,4575,23,14%,21,82.98%
12504,3825,48,25%,37,68.96%
12505,4011,23,20%,8,97.42%
12506,25108,28,14%,5,16.09%
12507,4424,21,21%,18,56.46%
12508,16638,35,29%,15,59.12%
12509,11086,26,23%,22,8.04%
12510,3819,18,16%,7,1.90%
12511,4460,47,20%,36,1.00%
12512,6383,47,28%,2,5.71%
12513,4711,35,6%,4,51.62%
12514,4707,20,31%,10,28.07%
12515,6432,24,19%,20,43.91%
12516,3058,20,23%,16,0.24%
12517,19469,36,7%,8,35.71%
12518,5640,30,11%,22,31.94%
12519,3741,47,5%,37,4.45%
12520,12865,32,23%,27,74.08%
12521,21468,23,14%,7,5.06%
12522,15271,23,6%,16,1.57%
12523,2132,23,16%,7,43.54%
12524,20867,23,15%,13,63.01%
12525,4142,43,5%,22,2.33%
12526,4480,17,30%,4,4.25%
12527,9910,24,32%,1,0.15%
12528,4817,21,27%,1,7.31%
12529,11964,48,16%,30,34.93%
12530,11029,35,29%,13,3.35%
12531,5291,11,27%,9,23.04%
12532,2928,24,21%,18,8.72%
12533,1918,16,13%,7,3.29%
12534,2481,23,21%,10,0.03%
12535,5215,23,5%,16,96.08%
12536,1865,23,24%,15,1.11%
12537,2073,47,29%,19,24.06%
12538,3891,23,23%,4,2.56%
12539,19925,23,19%,15,20.45%
12540,3711,23,32%,19,7.44%
12541,2557,58,12%,24,32.12%
12542,2077,22,30%,4,27.10%
12543,3161,45,21%,16,24.32%
12544,5566,22,11%,10,26.16%
12545,13177,23,25%,3,2.84%
12546,13532,44,32%,8,35.80%
12547,10730,46,16%,5,30.73%
12548,3111,23,22%,12,0.00%
12549,13234,25,15%,1,1.73%
12550,3580,47,25%,42,7.29%
12551,5650,46,25%,17,1.69%
12552,10327,12,17%,6,14.14%
12553,1580,11,24%,7,32.43%
12554,10413,23,13%,8,2.20%
12555,8262,47,32%,14,0.01%
12556,13561,35,12%,27,0.13%
12557,12572,44,17%,20,66.07%
12558,3784,34,22%,3,0.22%
12559,9214,18,25%,9,0.06%
12560,5857,33,32%,3,16.49%
12561,6102,47,32%,44,41.84%
12562,3819,47,16%,25,8.27%
12563,9636,33,32%,20,28.86%
12564,4328,22,27%,13,0.42%
12565,30407,21,12%,4,42.06%
12566,9981,22,12%,15,56.39%
12567,3141,36,15%,11,0.91%
12568,15457,22,30%,4,4.10%
12569,20515,22,14%,16,3.16%
12570,2645,11,26%,9,0.02%
12571,1809,12,12%,5,27.41%
12572,1372,58,20%,40,50.03%
12573,13327,23,27%,6,1.66%
12574,9114,20,32%,10,23.36%
12575,3600,34,18%,26,0.25%
12576,2766,35,12%,8,14.56%
12577,3920,12,24%,4,4.54%
12578,3680,32,28%,13,0.09%
12579,8757,47,25%,18,0.50%
12580,10354,11,11%,1,56.42%
12581,5616,22,16%,9,70.03%
12582,17929,22,15%,16,0.04%
12583,5399,11,29%,7,9.13%
12584,2108,23,16%,13,2.01%
12585,3162,35,18%,7,67.34%
12586,2374,22,22%,13,38.82%
12587,4222,37,29%,6,0.00%
12588,13304,11,16%,3,58.38%
12589,5050,23,14%,13,70.40%
12590,6167,43,14%,18,35.04%
12591,6085,47,10%,36,0.43%
12592,1350,11,31%,5,6.62%
12593,4641,19,12%,5,21.90%
12594,1631,13,22%,11,22.86%
12595,4346,35,5%,29,2.08%
12596,6644,22,25%,14,65.77%
12597,6627,11,26%,8,3.35%
12598,15977,23,17%,15,9.52%
12599,12658,21,17%,8,61.21%
12600,6918,35,28%,25,22.32%
12601,2152,46,5%,12,0.40%
12602,2652,36,18%,19,0.68%
12603,7973,12,19%,3,1.62%
12604,2132,12,32%,2,80.65%
12605,11702,35,7%,23,0.14%
12606,38555,23,10%,6,18.76%
12607,1981,23,13%,20,20.14%
12608,2008,47,16%,19,0.04%
12609,3252,35,12%,16,6.48%
12610,9057,23,10%,17,35.37%
12611,6378,47,8%,42,41.36%
12612,32071,11,14%,9,67.64%
12613,1365,24,13%,6,13.40%
12614,10536,24,26%,19,0.01%
12615,21581,25,24%,2,24.12%
12616,2797,22,8%,9,54.30%
12617,1154,18,9%,3,33.16%
12618,2472,60,9%,46,18.70%
12619,11211,23,19%,8,95.56%
12620,1824,13,25%,11,95.69%
12621,2219,13,32%,1,10.74%
12622,4029,23,29%,21,1.73%
12623,11916,23,17%,12,63.14%
12624,8152,24,29%,18,31.37%
12625,12606,34,23%,23,6.52%
12626,13433,13,25%,9,36.50%
12627,10594,23,19%,14,16.86%
12628,3154,35,7%,7,3.45%
12629,4086,24,19%,20,18.40%
12630,20860,45,24%,34,55.76%
12631,12309,46,8%,39,70.03%
12632,4520,35,28%,14,23.16%
12633,4082,19,8%,9,1.28%
12634,6558,23,21%,18,1.21%
12635,4619,20,13%,16,10.71%
12636,8393,35,22%,29,12.85%
12637,5728,34,8%,7,7.80%
12638,5347,23,16%,8,22.68%
12639,1366,28,28%,21,13.08%
12640,4827,23,18%,2,1.68%
12641,8056,44,24%,3,76.08%
12642,26999,56,21%,20,0.15%
12643,5388,34,17%,30,15.34%
12644,8777,34,12%,3,15.39%
12645,1927,23,23%,9,30.71%
12646,7942,22,32%,5,34.20%
12647,19447,18,5%,16,2.43%
12648,3471,32,8%,12,6.37%
12649,7534,47,30%,42,36.01%
12650,1532,24,8%,10,38.19%
12651,18869,47,6%,37,62.45%
12652,3998,22,27%,6,34.19%
12653,1502,23,20%,4,29.15%
12654,17678,24,17%,9,2.92%
12655,2940,23,20%,13,0.48%
12656,1734,34,6%,22,0.00%
12657,3077,23,31%,13,1.91%
12658,1631,23,15%,9,11.96%
12659,1648,23,32%,18,0.59%
12660,12481,45,31%,6,45.30%
12661,22886,47,28%,29,45.79%
12662,12900,23,16%,4,0.32%
12663,9080,23,19%,6,1.59%
12664,9531,48,31%,19,4.42%
12665,8547,24,26%,18,0.00%
12666,1933,12,23%,7,0.09%
12667,3235,27,9%,25,0.00%
12668,5235,27,5%,16,0.28%
12669,19559,57,15%,13,41.96%
12670,7652,22,16%,9,18.44%
12671,3679,59,14%,17,0.01%
12672,6629,23,26%,12,58.34%
12673,3658,23,9%,5,0.85%
12674,16389,35,12%,17,87.22%
12675,8217,16,18%,1,14.71%
12676,4761,36,30%,8,0.89%
12677,1863,23,11%,5,2.85%
12678,1514,22,8%,9,29.96%
12679,3058,23,27%,6,21.95%
12680,3742,12,15%,1,38.23%
12681,5358,35,25%,3,27.82%
12682,15013,23,27%,13,0.06%
12683,6547,22,30%,14,2.97%
12684,10957,23,24%,14,40.25%
12685,5275,35,26%,7,6.08%
12686,4851,23,29%,6,3.74%
12687,9409,36,6%,3,32.61%
12688,9536,23,25%,17,27.51%
12689,13495,18,9%,6,23.38%
12690,2202,22,32%,5,0.03%
12691,9870,23,15%,18,15.99%
12692,13465,13,12%,5,34.01%
12693,4527,35,6%,20,5.88%
12694,9547,34,9%,15,0.09%
12695,5495,45,19%,35,29.46%
12696,4275,11,29%,3,7.76%
12697,22097,23,31%,9,1.37%
12698,5530,23,31%,7,43.65%
12699,1876,11,30%,8,16.25%
12700,13496,16,21%,3,28.17%
12701,5698,35,24%,9,54.01%
12702,13472,35,8%,9,4.94%
12703,2302,23,10%,16,85.90%
12704,9862,13,6%,5,26.63%
12705,2019,36,25%,3,51.08%
12706,13543,24,32%,21,18.51%
12707,22028,59,22%,15,4.85%
12708,3635,22,24%,19,14.46%
12709,4782,48,12%,32,30.84%
12710,7108,20,19%,10,47.34%
12711,24601,24,5%,12,6.09%
12712,9275,29,25%,22,0.26%
12713,1308,48,22%,8,0.51%
12714,3355,11,30%,3,0.03%
12715,23498,22,24%,14,8.65%
12716,6416,23,29%,18,6.16%
12717,10209,23,15%,18,1.81%
12718,21591,23,22%,13,91.97%
12719,6393,23,6%,18,17.92%
12720,1313,11,12%,5,0.49%
12721,1140,11,21%,4,18.18%
12722,3659,21,26%,2,7.20%
12723,3301,34,22%,14,7.85%
12724,8243,25,26%,3,10.47%
12725,3391,23,5%,10,29.37%
12726,46013,12,26%,1,0.00%
12727,5633,47,8%,45,21.86%
12728,7958,23,30%,19,71.11%
12729,4321,23,5%,10,0.21%
12730,1623,21,22%,7,61.21%
12731,3417,20,18%,17,0.80%
12732,2120,34,20%,12,0.06%
12733,18396,22,22%,19,77.01%
12734,6137,22,7%,13,5.64%
12735,8100,24,23%,14,90.84%
12736,1855,22,8%,7,12.58%
12737,1671,21,13%,2,2.50%
12738,11483,35,6%,3,29.85%
12739,26486,23,6%,10,65.70%
12740,16203,24,24%,19,1.11%
12741,5962,22,30%,6,41.67%
12742,1583,14,16%,4,4.51%
12743,3105,23,23%,2,5.88%
12744,5574,23,29%,12,8.96%
12745,2450,22,20%,7,10.97%
12746,33923,23,29%,5,31.42%
12747,13589,16,32%,3,6.58%
12748,2521,20,26%,13,2.38%
12749,28259,24,12%,21,9.31%
12750,8499,22,5%,19,42.98%
12751,7070,60,28%,35,0.00%
12752,1710,22,11%,16,0.07%
12753,5088,46,25%,21,1.61%
12754,1177,22,28%,4,27.44%
12755,4220,23,32%,13,49.13%
12756,5459,19,18%,5,0.00%
12757,2001,22,8%,14,22.39%
12758,3039,22,29%,5,71.69%
12759,4791,21,12%,15,3.41%
12760,6883,34,18%,22,0.02%
12761,15586,11,13%,1,39.86%
12762,5565,23,25%,16,4.41%
12763,6083,19,19%,17,71.86%
12764,1225,24,32%,4,29.18%
12765,1817,22,32%,16,0.89%
12766,9424,35,14%,2,47.26%
12767,6446,11,9%,6,3.75%
12768,3837,32,22%,22,3.98%
12769,24844,23,12%,5,0.19%
12770,5909,35,28%,14,0.99%
12771,13492,19,14%,3,87.55%
12772,13477,22,15%,20,19.76%
12773,1196,59,7%,52,44.41%
12774,2488,19,24%,5,23.95%
12775,2493,58,8%,18,12.62%
12776,4485,15,24%,7,16.39%
12777,1388,23,22%,6,3.77%
12778,21570,35,16%,28,62.74%
12779,2520,13,15%,8,0.06%
12780,1858,24,21%,10,21.22%
12781,8555,23,11%,2,84.05%
12782,2521,22,6%,10,28.43%
12783,29796,45,13%,19,24.35%
12784,17657,23,13%,11,39.62%
12785,5659,22,8%,8,30.95%
12786,7896,35,17%,31,45.27%
12787,2463,20,23%,5,26.61%
12788,19915,48,6%,21,87.56%
12789,4583,12,32%,7,1.12%
12790,35521,33,26%,23,5.84%
12791,3635,34,26%,30,3.55%
12792,6685,19,25%,1,5.10%
12793,7413,47,28%,41,1.88%
12794,39869,22,27%,20,4.35%
12795,13526,32,20%,22,51.98%
12796,60775,22,8%,13,68.87%
12797,5650,47,18%,43,2.95%
12798,5837,33,7%,17,84.66%
12799,2585,38,32%,1,45.96%
12800,2255,12,17%,3,16.97%
12801,1199,18,23%,11,0.11%
12802,2685,22,18%,8,6.98%
12803,7712,47,7%,39,2.20%
12804,1576,44,32%,39,6.10%
12805,5884,24,24%,5,4.47%
12806,11978,24,21%,18,11.13%
12807,4379,23,12%,3,8.99%
12808,15300,43,13%,5,9.01%
12809,3381,11,26%,3,9.67%
12810,3355,11,21%,3,0.32%
12811,27184,24,13%,16,29.01%
12812,2917,12,20%,3,49.79%
12813,7681,22,24%,20,0.00%
12814,3499,21,10%,3,36.21%
12815,2625,22,14%,3,0.14%
12816,8826,12,9%,3,2.52%
12817,1975,23,23%,9,4.64%
12818,1939,21,14%,14,14.80%
12819,5963,45,21%,17,5.33%
12820,1628,24,8%,14,72.63%
12821,4163,23,13%,9,0.02%
12822,2226,47,12%,12,69.11%
12823,9832,33,16%,15,12.76%
12824,1193,24,24%,15,76.28%
12825,1630,47,22%,3,47.93%
12826,2413,23,10%,3,69.04%
12827,2922,12,28%,5,44.90%
12828,3354,24,16%,19,0.22%
12829,36745,23,5%,4,16.88%
12830,3259,27,30%,15,77.38%
12831,3134,23,27%,1,63.02%
12832,1842,22,20%,10,11.99%
12833,7923,33,12%,15,19.95%
12834,11982,24,18%,6,0.00%
12835,3031,12,32%,10,80.25%
12836,1597,24,25%,1,43.70%
12837,3763,23,27%,1,1.23%
12838,14060,13,9%,3,85.20%
12839,2373,23,18%,6,75.92%
12840,5583,35,22%,26,0.60%
12841,2009,11,15%,7,55.27%
12842,2110,11,9%,1,0.33%
12843,4517,34,5%,32,58.58%
12844,7016,11,23%,6,0.00%
12845,6674,58,9%,49,89.67%
12846,8879,23,16%,18,60.34%
12847,3046,35,6%,11,15.46%
12848,1184,23,19%,11,0.27%
12849,4620,23,19%,21,33.51%
12850,3613,23,5%,16,55.02%
12851,3555,23,30%,10,64.85%
12852,2115,35,29%,30,2.98%
12853,1417,46,7%,13,3.82%
12854,2889,21,11%,7,0.98%
12855,35071,59,15%,56,52.21%
12856,8544,23,27%,1,0.01%
12857,47455,23,19%,14,74.77%
12858,6002,21,14%,13,87.64%
12859,8727,11,14%,8,4.51%
12860,47811,23,29%,12,8.94%
12861,9791,35,27%,18,13.66%
12862,7554,11,23%,1,61.54%
12863,6458,11,13%,3,16.64%
12864,4191,22,6%,14,0.00%
12865,2060,36,19%,32,34.59%
12866,9090,35,30%,4,4.52%
12867,26475,60,17%,27,10.80%
12868,10050,47,23%,4,9.30%
12869,1935,22,31%,7,39.76%
12870,5474,34,24%,24,0.19%
12871,12673,20,20%,3,0.23%
12872,3861,36,12%,25,65.51%
12873,3828,18,18%,8,13.50%
12874,15102,35,30%,21,32.68%
12875,9195,23,30%,9,2.75%
12876,6142,23,13%,14,0.22%
12877,6127,12,27%,6,14.56%
12878,6514,17,17%,12,0.06%
12879,1631,23,16%,7,0.10%
12880,7614,23,16%,9,0.00%
12881,3061,33,13%,7,52.10%
12882,17608,24,24%,14,0.61%
12883,10242,21,31%,14,0.01%
12884,4416,20,6%,13,83.53%
12885,84446,37,29%,25,0.71%
12886,9362,23,17%,18,61.29%
12887,2733,34,19%,31,12.49%
12888,9916,22,24%,7,0.00%
12889,10265,35,8%,1,19.74%
12890,3686,22,13%,13,56.90%
12891,8409,35,18%,11,15.97%
12892,6345,24,13%,14,81.77%
12893,8045,34,18%,19,13.82%
12894,8107,35,11%,20,0.01%
12895,1532,23,25%,11,0.29%
12896,11997,52,32%,43,44.39%
12897,10749,48,17%,43,13.09%
12898,3612,23,6%,2,0.03%
12899,5623,43,13%,1,22.92%
12900,1143,59,27%,39,70.10%
12901,8108,17,15%,2,0.77%
12902,3976,23,13%,15,11.65%
12903,13394,24,20%,3,23.59%
12904,4433,16,27%,13,28.23%
12905,4762,18,9%,10,18.62%
12906,13485,21,15%,9,72.62%
12907,8264,23,32%,15,0.00%
12908,40566,24,29%,1,71.27%
12909,3378,46,5%,29,0.04%
12910,6074,21,23%,9,15.73%
12911,3751,32,18%,24,1.30%
12912,3723,29,29%,27,45.99%
12913,13247,35,6%,16,0.00%
12914,5232,13,32%,9,34.12%
12915,2806,26,25%,8,65.59%
12916,3665,22,27%,19,81.23%
12917,10614,20,30%,4,52.36%
12918,8937,23,16%,4,17.15%
12919,20561,48,13%,21,3.85%
12920,1193,11,29%,1,21.87%
12921,33970,48,17%,41,22.94%
12922,3416,12,11%,9,17.12%
12923,5858,34,26%,10,62.40%
12924,11806,23,17%,19,32.19%
12925,4319,36,24%,8,3.96%
12926,9474,46,30%,24,19.74%
12927,7699,44,18%,20,1.33%
12928,2938,32,32%,5,89.53%
12929,3144,24,8%,17,59.14%
12930,2261,12,9%,4,56.56%
12931,5399,23,28%,6,66.37%
12932,6468,12,19%,5,7.96%
12933,2295,35,27%,19,60.06%
12934,5880,23,13%,14,62.75%
12935,4138,12,32%,9,6.19%
12936,2317,24,31%,21,0.00%
12937,2713,22,14%,8,9.34%
12938,5038,45,16%,41,17.28%
12939,1904,23,9%,7,3.33%
12940,4834,23,9%,21,46.24%
12941,3060,26,12%,1,25.35%
12942,3979,23,32%,17,0.29%
12943,6680,59,24%,40,11.20%
12944,6910,23,12%,18,0.02%
12945,2128,25,12%,12,2.27%
12946,1244,46,31%,23,3.42%
12947,1968,23,7%,19,0.21%
12948,7403,23,17%,20,29.85%
12949,6555,23,15%,1,49.69%
12950,1371,22,8%,11,33.66%
12951,1628,11,9%,1,90.13%
12952,4799,19,9%,2,97.88%
12953,6528,22,5%,1,9.10%
12954,5937,23,28%,19,52.37%
12955,5498,23,20%,18,29.05%
12956,1671,24,32%,6,26.13%
12957,9734,55,23%,31,0.00%
12958,4533,35,6%,8,2.10%
12959,15300,43,26%,28,19.37%
12960,5718,22,19%,12,0.42%
12961,3131,47,5%,11,0.01%
12962,4186,12,32%,2,34.00%
12963,8555,24,23%,6,49.50%
12964,2740,35,32%,26,47.60%
12965,6420,47,10%,10,2.94%
12966,2853,12,6%,8,8.14%
12967,3297,27,10%,22,25.31%
12968,3843,12,7%,10,2.29%
12969,7226,23,10%,7,34.67%
12970,1218,12,21%,5,0.00%
12971,5753,23,10%,2,1.18%
12972,1164,12,12%,7,20.71%
12973,3509,47,14%,17,98.04%
12974,2430,27,5%,15,0.61%
12975,5189,23,23%,11,0.97%
12976,1167,21,11%,18,89.39%
12977,1140,59,21%,39,16.76%
12978,19171,24,24%,7,92.54%
12979,6457,23,32%,9,12.20%
12980,16350,23,24%,19,74.21%
12981,7838,11,11%,2,72.36%
12982,9861,22,20%,9,2.21%
12983,2630,36,29%,24,1.10%
12984,2297,23,10%,6,3.47%
12985,5445,58,14%,29,33.36%
12986,5737,34,19%,12,0.17%
12987,3892,23,15%,1,18.87%
12988,10322,23,9%,13,4.20%
12989,8138,21,23%,14,49.64%
12990,1318,22,17%,4,82.97%
12991,4166,35,12%,7,0.04%
12992,3938,19,14%,12,9.25%
12993,12592,22,30%,20,28.03%
12994,2948,33,12%,10,42.03%
12995,26951,23,23%,7,0.39%
12996,6298,32,19%,30,0.67%
12997,4491,22,25%,12,15.66%
12998,3925,20,11%,11,0.74%
12999,7687,23,19%,15,20.15%
13000,2665,19,30%,17,11.10%
13001,1499,23,19%,13,0.00%
13002,6001,23,29%,2,19.09%
13003,4543,23,25%,3,31.51%
13004,13277,35,15%,17,68.83%
13005,26833,35,28%,18,24.45%
13006,3598,11,21%,2,47.67%
13007,9838,23,26%,15,0.45%
13008,13427,34,19%,3,1.38%
13009,2919,12,11%,2,2.45%
13010,3705,46,18%,15,64.21%
13011,5837,35,8%,28,23.10%
13012,13561,22,15%,7,0.00%
13013,5575,35,19%,9,69.93%
13014,10265,24,14%,21,0.21%
13015,9896,12,5%,2,23.77%
13016,3384,23,20%,21,3.47%
13017,1224,45,30%,41,67.32%
13018,7128,22,19%,13,53.31%
13019,3826,23,10%,4,0.00%
13020,3195,21,27%,15,42.85%
13021,7203,17,13%,9,0.00%
13022,15723,23,28%,21,32.43%
13023,6399,23,20%,11,39.03%
13024,1889,35,27%,20,0.00%
13025,3450,24,28%,8,0.61%
13026,1479,44,30%,17,0.58%
13027,4958,13,27%,6,14.29%
13028,9327,22,20%,3,10.53%
13029,120379,23,15%,12,49.48%
13030,4844,47,13%,42,43.96%
13031,5397,59,9%,3,79.58%
13032,10940,47,11%,9,0.04%
13033,1262,23,19%,19,46.26%
13034,3686,35,30%,24,0.18%
13035,7993,45,26%,21,21.91%
13036,2068,22,28%,16,43.03%
13037,1216,23,14%,20,90.40%
13038,4779,34,5%,6,2.36%
13039,9645,47,13%,30,2.77%
13040,73119,23,16%,18,0.16%
13041,1720,49,27%,45,14.09%
13042,1694,51,16%,34,0.01%
13043,6087,36,21%,29,23.38%
13044,3201,47,6%,24,4.28%
13045,6302,23,16%,13,3.77%
13046,9208,13,13%,2,76.14%
13047,6642,23,14%,15,56.84%
13048,16892,38,29%,17,58.69%
13049,3726,23,21%,12,23.67%
13050,23546,13,15%,7,6.31%
13051,14113,23,20%,7,14.11%
13052,6394,23,10%,7,2.56%
13053,10025,23,29%,10,59.34%
13054,4272,22,5%,8,93.17%
13055,24375,23,17%,6,11.81%
13056,4817,19,8%,4,23.50%
13057,4267,12,16%,8,65.76%
13058,101593,23,6%,1,27.03%
13059,38705,24,28%,17,69.00%
13060,7884,47,13%,42,7.01%
13061,4011,23,9%,15,15.38%
13062,3389,45,28%,12,42.30%
13063,6581,35,29%,32,55.49%
13064,2303,19,23%,5,67.68%
13065,1858,23,29%,6,0.82%
13066,12537,12,28%,4,0.01%
13067,8276,23,16%,17,93.73%
13068,9018,24,7%,7,4.72%
13069,12824,35,22%,6,90.52%
13070,3747,23,13%,7,0.25%
13071,8019,23,17%,3,3.03%
13072,2176,47,21%,14,1.08%
13073,18129,22,12%,12,17.97%
13074,2648,26,8%,10,68.79%
13075,9914,36,9%,8,0.25%
13076,8855,23,8%,11,9.82%
13077,17029,22,11%,13,77.84%
13078,14796,24,18%,9,19.08%
13079,5618,35,30%,28,14.92%
13080,8071,34,16%,5,99.97%
13081,3537,11,14%,7,0.07%
13082,4138,12,7%,4,4.73%
13083,2579,21,30%,19,26.23%
13084,6451,18,11%,3,91.42%
13085,10664,47,13%,12,16.58%
13086,14786,23,8%,19,21.44%
13087,10570,23,14%,15,0.73%
13088,3393,31,8%,5,0.11%
13089,7071,22,30%,13,2.26%
